Amazon:Where have you shopped for groceries before?,Walmart:Where have you shopped for groceries before?,Stop and Shop:Where have you shopped for groceries before?,Publix:Where have you shopped for groceries before?,Food Lion:Where have you shopped for groceries before?,Fresh Market:Where have you shopped for groceries before?,Wegmans:Where have you shopped for groceries before?,Food Depot:Where have you shopped for groceries before?,Giant:Where have you shopped for groceries before?,Aldi:Where have you shopped for groceries before?,Target:Where have you shopped for groceries before?,Whole Foods:Where have you shopped for groceries before?,Weis:Where have you shopped for groceries before?,Safeway:Where have you shopped for groceries before?,"Other, please specify:Where have you shopped for groceries before?","Other, please specify:Where have you shopped for groceries before?",Where do you get your groceries from most often?,"On an average grocery trip, how much do you spend?",You mentioned you've shopped at Walmart before. How often do you shop at Walmart?,"When you go to the store to buy hot sauce, how often do you buy other items?",How interested would you be in trying a new hot sauce that offers  flavorful sauces that go beyond heat?,"If Walmart offered new flavorful sauces that go beyond heat, how likely would you be to use Walmart as your primary grocery store?",Below are list of hot sauce brands. Which of the following would you prefer to use?,How many bottles of hot sauce do you buy a year? Please give your best estimate.,How many bottles of hot sauce do you buy a year? Please give your best estimate.,How much do you spend on an average bottle of hot sauce? Please give your best estimate.,Think about the last time you bought hot sauce. How satisfied were you with the hot sauce?,Think about the last time you bought hot sauce. How satisfied were you with the hot sauce?,Which of the following ranges includes your household income (please use your gross income / pre-tax)?,New URL Redirect
,2,,4,,,,,,10,11,12,,,,,10,$60 ,5,3,5,5,14,7,0,6,6,not applicable,"$35,000 to $49,999",
1,2,,4,,,,,,10,,,,,,,2,$250 ,3,3,5,4,10,6,4,3,7,7,"$50,000 to $74,999",
,2,,,,,,,,,,,,,,,2,$300 ,5,2,4,3,14,5,2,2,6,6,"Less than $25,000",
,2,,4,,,,,,10,,,,,,,2,$200 ,5,1,4,4,5,1,0,10,7,not applicable,"$50,000 to $74,999",
,2,,,5,,,,,,,,,,,,2,$130 ,5,2,4,5,10,50,0,2,7,not applicable,"Less than $25,000",
,2,,4,,6,,,,,11,,,,,,4,$150 ,2,2,4,3,7,2,0,2,5,not applicable,"$50,000 to $74,999",
,2,,4,,,,,,10,,,,,15,winn dixie,2,$20 ,3,2,4,3,5,1,1,5,not applicable,not applicable,"Less than $25,000",
,2,,4,5,,,,,10,11,,,,,,5,$35 ,1,2,5,4,10,5,0,4,7,7,"$50,000 to $74,999",
,2,,4,,,,,,,11,,,,,,2,$100 ,1,,,,,,,,,,,
,,,,,,,,,,,,,,15,winn dixie,,,,,,,,,,,,,,
,2,,4,5,,,,,10,,12,,,,,2,$300 ,3,3,5,5,14,16,0,3,6,not applicable,"$35,000 to $49,999",
,2,,,,,,,,,,,,,,,2,$150 ,2,2,3,3,7,12,0,5,4,4,"Less than $25,000",
,2,,4,5,,,,,10,11,,,,,,2,$50 ,2,3,2,3,7,3,0,4,6,not applicable,"$50,000 to $74,999",
,2,,,5,6,,,,10,11,,,,,,2,$40 ,2,3,1,3,5,,,,,,,
1,2,,4,5,,,,,,11,12,,,,,1,$5 ,1,3,5,5,5,5,6,3,6,6,"$50,000 to $74,999",
,2,,4,,,,,,,,,,,,,4,$75 ,3,3,1,1,7,3,0,4,2,2,"$100,000 to $124,999",
,2,,,5,6,,,,10,11,,,,,,10,$200 ,4,2,2,2,8,0,0,0,not applicable,not applicable,"$35,000 to $49,999",
,2,,4,,,,,,,,,,,,,2,$150 ,1,2,1,4,7,12,3,4,7,7,"$75,000 to $99,999",
,2,,4,,,,,,10,11,,,,,,2,$240 ,2,3,4,4,10,1,0,4,5,not applicable,"$125,000 to $149,999",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,4,,,,,,10,11,12,,,,,11,$400 ,2,3,5,4,7,13,5,76,6,6,"$100,000 to $124,999",
,2,,,,,,,,,,,,,15,winn dixie,15,$100 ,6,3,1,1,16,0,0,0,not applicable,not applicable,"Less than $25,000",
,2,,4,,6,7,,,10,11,,,,,,10,$100 ,2,2,1,1,,0,0,0,not applicable,not applicable,"$50,000 to $74,999",
,2,,,,,,,,,,,,,,,2,$75 ,2,2,3,3,10,5,0,1,7,not applicable,"Less than $25,000",
1,2,,4,5,,,,9,,11,,,14,,,2,$145 ,4,3,5,4,8,1,0,3,7,not applicable,"$35,000 to $49,999",
,2,,,,,,,,,,,,,,,2,$30 ,2,1,3,3,16,0,0,0,not applicable,not applicable,"Less than $25,000",
,2,,4,,,,,,10,,,,,,,2,$60 ,1,2,4,4,10,1,0,2,6,not applicable,"$50,000 to $74,999",
,2,,4,,,,,,10,11,,,,,,10,$160 ,2,3,5,5,11,26,4,10,7,7,"$50,000 to $74,999",
,2,,4,,,,,,10,11,,,,,,2,$50 ,2,2,4,3,7,2,2,10,6,not applicable,"Less than $25,000",
,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,2,$300 ,2,2,5,5,7,4,1,4,7,7,"Less than $25,000",
,2,,,,,,,,10,,,,,,,2,$150 ,2,3,1,4,16,0,0,0,not applicable,not applicable,"Less than $25,000",
1,2,,4,5,6,,,,10,11,12,,,,,2,$50 ,1,3,5,4,5,24,10,8,6,6,"$35,000 to $49,999",
,2,,4,,,,,,,,,,,15,sams club,4,$80 ,3,3,4,3,7,3,0,6,5,not applicable,"$50,000 to $74,999",
1,2,,,5,,,,,,11,,,,,,2,$60 ,2,3,3,3,7,4,4,8,6,6,"$100,000 to $124,999",
,2,,4,,,,,,10,,,,,,,15,$100 ,1,2,3,3,7,2,0,6,7,1,"$35,000 to $49,999",
,2,,4,,,,,,10,,12,,,,,4,$100 ,4,3,1,5,10,10,0,6,7,not applicable,"$75,000 to $99,999",
,2,,,5,,,,,,,,,,,,5,$80 ,2,3,1,5,7,3,0,10,7,4,"$35,000 to $49,999",
,2,,4,,,,,,,,,,,15,Kroger,15,$60 ,2,3,4,2,7,1,0,3,7,not applicable,"$50,000 to $74,999",
,2,,,5,,,,,,11,,,,,,2,$60 ,2,2,4,3,10,1,0,4,6,not applicable,"$35,000 to $49,999",
1,2,,4,5,,,,,10,11,12,,,,,5,$150 ,1,2,1,5,9,12,12,7,7,7,"$75,000 to $99,999",
,2,,4,,,,,,10,11,,,,15,kroger,4,$200 ,4,2,2,3,5,2,0,5,5,not applicable,"$50,000 to $74,999",
,2,,,,,,,,,,,,,15,Kroger ,2,$50 ,2,1,1,5,5,5,4,8,6,7,"$50,000 to $74,999",
1,2,,4,5,,,,,10,,12,,,15,Ingles,2,$50 ,2,3,5,5,11,8,0,3,7,not applicable,"$50,000 to $74,999",
,2,,4,5,,,,,10,11,,,,,,2,$25 ,1,3,4,5,16,0,0,0,not applicable,not applicable,"Less than $25,000",
,2,,4,,,,,,10,,,,,,,2,$25 ,2,3,1,3,5,1,0,3,5,not applicable,"$35,000 to $49,999",
,2,,4,5,,,,,10,11,,,,,,5,$50 ,5,3,4,1,5,3,0,4,5,not applicable,"$75,000 to $99,999",
1,2,,4,,6,,,,,11,,,,15,Kroger,2,$100 ,3,3,1,5,6,4,0,4,7,not applicable,"$125,000 to $149,999",
,2,,,,,,,,,,,,,,,2,$100 ,1,3,1,5,8,4,1,5,5,6,"Less than $25,000",
,2,,4,,,,,,,11,,,,,,2,$100 ,5,3,3,2,5,1,0,3,5,not applicable,"$100,000 to $124,999",